,title,price,image
0,"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens","₹26,899",https://rukminim1.flixcart.com/image/312/312/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5h9yuyc5zu.jpeg?q=70
1,Canon EOS M50 Mark II Mirrorless Camera EF-M15-45mm is STM Lens,"₹54,890",https://rukminim1.flixcart.com/image/312/312/knyxqq80/dslr-camera/r/y/x/digital-camera-eos-m50-mark-ii-eos-m50-mark-ii-canon-original-imag2gzkexzqhyhu.jpeg?q=70
2,Canon EOS 200D II DSLR Camera EF-S18-55mm IS STM,"₹54,390",https://rukminim1.flixcart.com/image/312/312/juwzf680/dslr-camera/g/a/q/200d-ii-200d-ii-canon-original-imaffvrhzyqzayys.jpeg?q=70
3,Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens,"₹36,390",https://rukminim1.flixcart.com/image/312/312/kk01pjk0/dslr-camera/f/v/o/eos-1500d-canon-original-imafzfugydh2mjgf.jpeg?q=70
4,Canon EOS R10 Mirrorless Camera Body with RF-S 18 - 150 mm f/3.5 - 6.3 IS STM Lens Kit,"₹1,11,899",https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/dslr-camera/f/t/m/eos-r10-24-2-r10-canon-original-imagg42fsbgv79da.jpeg?q=70
5,SONY Alpha Full Frame ILCE-7M2K/BQ IN5 Mirrorless Camera Body with 28 - 70 mm Lens,"₹76,899",https://rukminim1.flixcart.com/image/312/312/l5jxt3k0/dslr-camera/m/n/a/-original-imagg7hsggshhwbz.jpeg?q=70
6,Canon EOS 90D DSLR Camera Body with Single Lens 18 - 135 mm IS USM,"₹1,11,990",https://rukminim1.flixcart.com/image/312/312/k1jlyfk0/dslr-camera/b/c/a/90d-eos-90d-canon-original-imafh3b6jvmzyesh.jpeg?q=70
7,FUJIFILM X Series X-E4 Mirrorless Camera Body with XF 27 mm F2.8 R WR Prime Lens,"₹89,899",https://rukminim1.flixcart.com/image/312/312/kmds4nk0/dslr-camera/l/r/f/x-e4-x-e4-fujifilm-original-imagfazttxmjtpdx.jpeg?q=70
8,GoPro HERO8 Black Sports and Action Camera,"₹29,899",https://rukminim1.flixcart.com/image/312/312/k547l3k0/sports-action-camera/z/9/a/hero8-black-with-3-way-grip-and-battery-na-chdhx-801-rw-gopro-original-imafhw4zpbrtemru.jpeg?q=70
9,SONY ILCE-7M4/BQ IN5 Mirrorless Camera Body Only,"₹2,11,790",https://rukminim1.flixcart.com/image/312/312/l08gsy80/dslr-camera/s/e/b/-original-imagc2cz2hyqgwmn.jpeg?q=70
