,Product Name,OS,Resolution,Price,Rating
0,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,"₹32,999",4.4
1,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,"₹38,999",4.4
2,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Tizen,HD Ready 1366 x 768 Pixels,"₹12,499",4.4
3,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹10,999",4.4
4,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹9,999",4.4
5,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Youtube,Operating System: Linux,"₹8,999",4.4
6,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: WebOS,HD Ready 1366 x 768 Pixels,"₹12,999",4.4
7,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,"₹58,999",4.4
8,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹12,999",4.4
9,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,"₹30,990",4.4
10,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Linux,HD Ready 1366 x 768 Pixels,"₹7,999",4.4
11,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android Based,HD Ready 1366 x 768 Pixels,"₹7,829",4.4
12,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹18,999",4.4
13,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,"₹28,990",4.4
14,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹22,999",4.4
15,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,HD Ready 1366 x 768 Pixels,1 Year Warranty on Product,"₹5,088",4.4
16,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹17,999",4.4
17,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: WebOS,HD Ready 1366 x 768 Pixels,"₹16,490",4.4
18,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,"₹28,990",4.4
19,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,HD Ready 1366 x 768 Pixels,1 Year Warranty on Product,"₹6,653",4.4
20,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,"₹32,990",4.4
21,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹25,001",4.4
22,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Operating System: Linux,HD Ready 1366 x 768 Pixels,"₹7,999",4.4
23,KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,"₹8,099",4.4
